text,images,videos,gender
"Truly an honour 
Thank you soo much to Cablgram and each and everyone of you ",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/196054454_811814356142782_8703068683693941957_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=BxCPmGATqGsQ7kNvgHcYScG&_nc_ht=scontent.fdac157-1.fna&oh=00_AYAYAfsyW3v6jlYSeyGsDy93JoG6yguI-GoREPt4qt9MZg&oe=66913488'],[],m
I attempted to make some killer coffee but...,[],['https://www.facebook.com/RafsanTCB/videos/10225249295809752/?__cft__[0]=AZXIaRPIXFXCwJD4rJByl73LxcdopeF7pTmU_U-terCwhtogLSG0w0WTTOYQJ6Jx672tI1tshedoBai8mWQxk1CY4Zkfjx3qNG4YnPf0hu2fas7shTT8ut5Q9PEVLnJhEJN7ei_htFFxkLtAGzfKajXr9KAuCG1V0MJP5HBhaqjfscGCKAZtxbcyt31cvLy3Kprh481fdKWVdCKFYIYT5w_U_PC7wb_HOa1GzR_4PY5toynaVuqsP_Cz_2E8h65cQIc&__tn__=%2B%3FFH-y-R'],m
"You WON'T BELIEVE what happened inside Project Hilsha
High Quality : https://youtu.be/uzCIiMocVCE
in this video, we decided to compare Project Hilsha's Elish vs Mawa's traditional Speedboat Ghat's Elish!… See more",[],['https://www.facebook.com/Rafsanthechotobhai/videos/2834641970185183/?__cft__[0]=AZXsIr9-G-hETAgYuAE2MDUUn5Z19vYciFt1z-XjeHBzIzIoEcdvDmwpq9HDjf1aGUijI1fVRVZ-aS2YX7umkOVgCszzlW2zbBkhf8Y2P5qFsDgft9W0Li25MtqjCRUB9G0qmFP_oTMzvS8qWguB23FvhOpQrc19F8HueKdRIb9EVM_l8XFG4IQiGHnn4qimxZg-uX1i4g2PXfJU3qwOMeNiIqVX2pwbzAc77wutX9Fn8Q&__tn__=%2B%3FFH-R'],m
"Guess which place didn’t let me film today....
dropping tomorrow at 7:00PM!",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/190658938_2977085935944371_5864293382043390753_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=IJxbaBOvko0Q7kNvgGycagn&_nc_ht=scontent.fdac157-1.fna&oh=00_AYDZKHtV26upsjguXM8afQAsv_LeDl9_ZWqEdPwHdssu8Q&oe=669158DC'],[],m
"Thanks for the coverage dbcnews.tv!!
Another hugeshout to each and everyone of you for making this happen 
Thanks for the cover Tariqul Islam Mohan bhaiya!!",[],['https://www.facebook.com/dbcnews.tv.official/videos/772579156788287/?__cft__[0]=AZVPM4GVWE_BZh-hxZzsx3-WznsTIaXIRi_-n-9pXwJ-WhaRXN1EL-JUnaom5X-bpOnuuFWsSUhD-DjGvoBXNKSChc2_UG46vFxQxUin9Tz_WUg7DwSuWShTGfj98RvkYEbnggv1BSW6Qgt-5fPDLTzGdAsv2zYdWE030yor5DhhAljmE9TKgX7hCUIApMham2m2-Eg25WaEUkH9KOLJQ1WAPOWpQYDiwS5mD2MhJRG3Wvhhmt0l2gXXSSJ8nQd-P00&__tn__=%2B%3FFH-y-R'],m
"We nearly at 700k on YouTube
https://youtu.be/Db8IISzcDpU",[],[],m
"There was supposed to be a cyclone so we decided to order from all the top burger places in Dhaka
Watch on high quality : https://youtu.be/Db8IISzcDpU
D.O.P by Mahdin Nabi Khan
Co-Edit by Sidratul Tasdee",[],['https://www.facebook.com/Rafsanthechotobhai/videos/843856516225179/?__cft__[0]=AZVFTY0nbYncvAtIU2MwoLsJTzPIlQHZo7uARV5v6mD8dwRQIVWCBLeV-07iiarquIRxrnDNzqDCsNQZ9W4wlkyKaE7jDiPrVbOF2oBR-l33mR4S2OcfRe6kC6Kv0roZw--fRSQEXFs3eIYvh9pqLKWRPZ2n-9zpGdY_WygchmCfk0PsJLNLUFGb-3k69iB0tNaMu3HeXKpuAlzbQq0VCRsNTVHtIbUJAJDdRShOinBGgw&__tn__=%2B%3FFH-R'],m
"We literally ordered all the burgers in Dhaka 
Dropping the video tomorrow at 7:00PM",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/188482543_2972928886360076_9218896626517328459_n.jpg?stp=dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=86h9x0BifYsQ7kNvgHCK6bq&_nc_ht=scontent.fdac157-1.fna&oh=00_AYCNrZNsJLdpnSy6uhQB84mJXOzCsj7KdHOU7_KKZ2fj9w&oe=66916911'],[],m
"Not a high budget TikTok
Watch on high quality : https://youtu.be/p9If2aSSoK4",[],['https://www.facebook.com/Rafsanthechotobhai/videos/766748797329914/?__cft__[0]=AZW1jDQWSqwtnaKmH8BkzX6Ot5s5BXDYRYkT5VDmOjMyZrHqtsCHK26xy-5u0S2tm7pooU8m8tg5aMTf1n8fCvZwCe7VjgN4rVUBHJrsYORpMkWNPFRYwMorCyrYds3mjMttYVkbw40L6dlmpdw_qjGrq80DyPO5h0xWDH3bDmnsNnn4n2Rvir--7YqLKPJ35o6OWj0Ei6Fv7A3st10u-XQhNdCAy8YrYPjgglbBlbr6lw&__tn__=%2B%3FFH-R'],m
What’s your biggest fear?,['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/190908854_2971502206502744_5118516362239909693_n.jpg?stp=dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=sum-hJUJIV4Q7kNvgHnmI9o&_nc_ht=scontent.fdac157-1.fna&oh=00_AYCEJgvfwOOHj620snFcZgR4P-UaK1BVEMC1vTooqd1lig&oe=669150B5'],[],m
"Join me live as I announce the Third & Final winner of #AirtelEidChallenge !!
https://www.facebook.com/airtelbuzz/videos/2586712931625120/",[],['https://www.facebook.com/airtelbuzz/videos/2586712931625120/?__cft__[0]=AZV7R-8ahjKjeMXieCiZ5MVAM366jxLtWFYa0kDjnfotTbpBRqq_aTpSyH1aI4TcA-auTC3EAsVJYchpsyon1DDAyP_iDS15oW7eG5t8Zw9QEL7ghVrftve6oyNtxdnbAPKrOsWylK6JVRzUNmE4IioedCPqIohamTDjPpaLSmQb4aOJ2EmMrlc566ExNKyIJIKGlZi_r0480TaOMoNl_tg1-9lX9XuBC3c388gaCE40QByG4SDSvLnzCVfcRMfBfsQ&__tn__=%2B%3FFH-y-R'],m
Eid Mubarak ,['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/185092565_2964121893907442_5714050138769809902_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=OzD2-j7HcZIQ7kNvgHb0Gs_&_nc_ht=scontent.fdac157-1.fna&oh=00_AYDMlw4qGnVmQNXbjlMi4C5TQjhuJlU39T6mhjAU7g8lXQ&oe=669138BA'],[],m
"Eid Mubarak to all my brothers and sisters from around the world! This Eid was a bit different, chaad raat wasn’t really like what it was and to make things worse our brothers and sisters in Palestine are constantly worrying when they’ll hear the next warning sirens! 
I’ve one sincere request; that we keep the people of palestine in our prayers
Enjoy your Eid homies! Stay blessed ",['https://scontent.fdac157-1.fna.fbcdn.net/v/t1.6435-9/186466749_2962915287361436_5019925218125005359_n.jpg?stp=dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=FhMJILU3n8YQ7kNvgEr7B6E&_nc_ht=scontent.fdac157-1.fna&oh=00_AYBy2QxsxoDB-2V9qEe13ZTMq4w1keCUcFGu6gU0WuwgYg&oe=6691396B'],[],m
